measurement_index,frequency_hz,point_count,field_min_mt,field_max_mt,magnetization_min,magnetization_max,ms_positive,ms_negative,ms,mr_positive,mr_negative,mr,hc_positive_mt,hc_negative_mt,hc_mt,loop_area,mr_over_ms,saturation_offset,remanence_offset,coercive_offset_mt
23,5000.0,201,-15.000852505502,15.000852505502,-1.516312231799,1.514206709501,1.489623181857619,-1.4915827533374286,1.4906029675975239,0.361547788418,-0.357482467844,0.359515128131,2.2897338693163465,-2.3221186606415443,2.3059262649789454,11.955995212381216,0.24118771795446492,-0.0009797857399047594,0.002032660286999999,-0.01619239566259889
24,5000.0,201,-15.001764991703,15.001764991703,-1.48364270385,1.48147762696,1.4575605795905238,-1.4595162396262857,1.4585384096084049,0.35920168763,-0.355258971863,0.3572303297465,2.3089179688530783,-2.341322283761391,2.325120126307235,11.853549208060212,0.24492349834133667,-0.0009778300178809873,0.0019713578835000023,-0.01620215745415643
25,5000.0,201,-15.002316695393,15.002316695393,-1.447665884562,1.445386226721,1.4221289807887618,-1.4242073618208095,1.4231681713047857,0.357312707907,-0.353228748405,0.355270728156,2.333086598644471,-2.367241139332703,2.350163868988587,11.765102263669169,0.24963369425995632,-0.001039190516023858,0.0020419797509999837,-0.01707727034411599
26,5000.0,201,-15.000676496533,15.000676496533,-1.413931041018,1.411670246078,1.388975421657238,-1.3909806766789048,1.3899780491680715,0.354930802686,-0.350956798105,0.3529438003955,2.354163393319004,-2.3881756783713155,2.3711695358451594,11.657299393358823,0.25392041306461177,-0.0010026275108333538,0.0019870022905000007,-0.017006142526155843
27,5000.0,201,-15.000308884095,15.000308884095,-1.387036699984,1.384916835387,1.3624588723897144,-1.3644216668738571,1.3634402696317858,0.354139610127,-0.350183824694,0.3521617174105,2.3783449839649435,-2.4131969241353355,2.3957709540501395,11.621736996274418,0.25828906865542833,-0.000981397242071358,0.001977892716500007,-0.017425970085195974
28,5000.0,201,-15.000716497717,15.000716497717,-1.358816157336,1.356645003085,1.334669831693762,-1.3366493071695238,1.3356595694316429,0.35216725883,-0.348187611054,0.350177434942,2.39683144242958,-2.431658964411871,2.4142452034207253,11.529754406905724,0.2621756643356431,-0.0009897377378809136,0.0019898238880000085,-0.017413760991145555
29,5000.0,201,-15.000630510401,15.000630510401,-1.332612432029,1.330486474987,1.308900973573238,-1.3108227813724762,1.3098618774728572,0.350627339122,-0.346693537236,0.348660438179,2.416831519818475,-2.4516569548230147,2.434244237320745,11.460214868260305,0.26618107158876747,-0.0009609038996191144,0.001966900943000005,-0.017412717502269803
30,5000.0,201,-15.000516753548,15.000516753548,-1.30821673861,1.306125968291,1.2848839265667142,-1.286842485684762,1.2858632061257382,0.349035538685,-0.345162655694,0.3470990971895,2.4342876449071,-2.4699841413927826,2.4521358931499413,11.388174823533733,0.2699346987579633,-0.0009792795590238823,0.0019364414954999853,-0.017848248242841258
31,5000.0,201,-15.000194540389,15.000194540389,-1.288220546475,1.286106999924,1.2650236953897143,-1.2669787450386192,1.2660012202141666,0.348795933621,-0.344961032867,0.34687848324399995,2.457389853501121,-2.4930325556829516,2.4752112045920365,11.378995054907868,0.2739953782866965,-0.0009775248244524581,0.0019174503770000018,-0.017821351090915316
32,5000.0,201,-14.999804316206,14.999804316206,-1.269644048927,1.267570951066,1.2467081171530476,-1.2486191029739524,1.2476636100635,0.348025450065,-0.344173867596,0.3460996588305,2.474523728489417,-2.510333272397045,2.492428500443231,11.3428089219479,0.27739821538346,-0.0009554929104523824,0.0019257912345000128,-0.017904771953814125
33,5000.0,201,-14.99983268317,14.99983268317,-1.250447219275,1.248313381069,1.2279490663546666,-1.229892500947619,1.2289207836511427,0.345654153065,-0.341735309987,0.34369473152600005,2.480367504527412,-2.5175624801714007,2.498964992349406,11.232269602350257,0.27967199847078644,-0.00097171729647616,0.0019594215390000003,-0.01859748782199433
34,5000.0,201,-15.000995054957,15.000995054957,-1.236481334104,1.234386019362,1.214043177049762,-1.2159011710878094,1.2149721740687855,0.346204904204,-0.342360590077,0.3442827471405,2.503504886832118,-2.539005466563027,2.521255176697572,11.262007236309696,0.2833667753785186,-0.000928997019023714,0.0019221570635000185,-0.01775028986545446
35,5000.0,201,-15.001509690323,15.001509690323,-1.22138313883,1.219278873844,1.1991566856712856,-1.201080832988238,1.200118759329762,0.345045355173,-0.341252989987,0.34314917258,2.514223329199585,-2.5503398615505164,2.532281595375051,11.209014489242776,0.28592934650204177,-0.0009620736584762257,0.0018961825930000065,-0.018058266175465798
36,5000.0,201,-15.000356790948,15.000356790948,-1.200858472772,1.198762123904,1.178943080280381,-1.1808629553861427,1.179903017833262,0.343336852052,-0.339607888235,0.34147237014349996,2.5282476088254233,-2.564514784746769,2.546381196786096,11.130142912339156,0.28940715040340304,-0.0009599375528808185,0.0018644819084999986,-0.01813358796067277
37,5000.0,201,-14.999655545061,14.999655545061,-1.188385455518,1.186246320508,1.1666035741392382,-1.168524909750381,1.1675642419448096,0.342585411677,-0.338801652689,0.340693532183,2.538961095245826,-2.5757452219385297,2.5573531585921776,11.094966060189678,0.29179853231502484,-0.000960667805571358,0.0018918794940000205,-0.018392063346351906
38,5000.0,201,-15.000765442342,15.000765442342,-1.172064481584,1.170025069875,1.1504498093816669,-1.1523295442753334,1.1513896768285001,0.342020190533,-0.33820257399,0.34011138226149995,2.5560269374130544,-2.593301728372194,2.574664332892624,11.070100945861856,0.295392071951119,-0.0009398674468332757,0.001908808271500001,-0.018637395479569774
39,5000.0,201,-14.999791660666,14.999791660666,-1.158505880299,1.156414195333,1.1370441222679046,-1.138929234802,1.1379866785349524,0.341086878607,-0.337379226092,0.33923305234949996,2.567933504208978,-2.60497694473831,2.586455224473644,11.028410441111472,0.29809931763544867,-0.0009425562670476451,0.0018538262574999964,-0.01852172026466592
40,5000.0,201,-15.000047357305,15.000047357305,-1.147641140952,1.14553396637,1.1264211215974762,-1.128299546671381,1.1273603341344285,0.339888609772,-0.336103571678,0.33799609072500003,2.573172598198332,-2.610212399638537,2.5916924989184347,10.970595135543086,0.29981194165795155,-0.000939212536952394,0.0018925190470000242,-0.018519900720102456
41,5000.0,201,-14.998982769389,14.998982769389,-1.13684175358,1.134766342511,1.1156254064849047,-1.1174693703103333,1.1165473883976191,0.3401036274,-0.336287123454,0.338195375427,2.589291444882449,-2.626476649759881,2.607884047321165,10.978372547046336,0.3028938842554201,-0.0009219819127143092,0.0019082519729999858,-0.018592602438715966
42,5000.0,201,-15.001371871977,15.001371871977,-1.127705726477,1.125689550206,1.1065147052928095,-1.1083359768319523,1.1074253410623809,0.340096534852,-0.336456056815,0.3382762958335,2.603460931665245,-2.6398731087349523,2.621667020200099,10.983212643212033,0.3054619424809108,-0.0009106357695713996,0.0018202390184999806,-0.018206088534853615
43,5000.0,201,-15.00056851564,15.00056851564,-1.113549184482,1.11153008723,1.0926231635316666,-1.0944688889113334,1.0935460262215,0.338683682532,-0.334847342982,0.33676551275699995,2.61080392804402,-2.648687931394102,2.629745929719061,10.914053720832152,0.30795732843602086,-0.0009228626898334369,0.001918169775000006,-0.01894200167504101
44,5000.0,201,-14.999663559871,14.999663559871,-1.10532212819,1.103337811993,1.084447842612381,-1.086304775047095,1.085376308829738,0.338508269022,-0.334652694912,0.33658048196699997,2.6208078377795356,-2.659042598975565,2.6399252183775506,10.904656586916976,0.3101048725947445,-0.0009284662173570934,0.001927787054999991,-0.01911738059801471
45,5000.0,201,-15.00010604307,15.00010604307,-1.094179073903,1.092139569769,1.0734050429769524,-1.0752550714747142,1.0743300572258332,0.337747848632,-0.333840171866,0.335794010249,2.6305366268135217,-2.669239321036848,2.6498879739251846,10.86827955756211,0.3125613101769648,-0.0009250142488809177,0.001953838383000006,-0.019351347111663086
46,5000.0,201,-14.998493664051,14.998493664051,-1.08756088074,1.085547591839,1.0669587084629046,-1.0687427940104286,1.0678507512366666,0.33692375557,-0.333130909692,0.335027332631,2.6341700961707843,-2.671861154814922,2.653015625492853,10.833191657237832,0.3137398482353535,-0.0008920427737619807,0.0018964229389999976,-0.018845529322068844
47,5000.0,201,-15.001024151935,15.001024151935,-1.078646862099,1.076576132937,1.0579295984361428,-1.0597833226017142,1.0588564605189283,0.336799179787,-0.333075415435,0.334937297611,2.647093083929503,-2.6852713827787857,2.666182233354144,10.831033064014463,0.31631983191267743,-0.0009268620827856955,0.0018618821760000015,-0.01908914942464146
48,5000.0,201,-14.998474646231,14.998474646231,-1.071889127347,1.069922759978,1.0514254176626667,-1.0532835960890001,1.0523545068758335,0.335629752728,-0.331932289873,0.3337810213005,2.6469916550284136,-2.6853060586188953,2.6661488568236544,10.775561883295353,0.3171754566732545,-0.0009290892131667006,0.0018487314275,-0.01915720179524083
49,5000.0,201,-14.99869332918,14.99869332918,-1.064571842257,1.062647394093,1.043998076961857,-1.0458007139797618,1.0448993954708095,0.336309231512,-0.33249255771,0.334400894611,2.662687025336124,-2.701651372016034,2.682169198676079,10.804248112008555,0.32003166626422064,-0.0009013185089523645,0.0019083369009999795,-0.019482173339955056
50,5000.0,201,-14.999962012871,14.999962012871,-1.054895184296,1.052876115519,1.0345277819828094,-1.0363703049428095,1.0354490434628094,0.3347545725,-0.330989835455,0.3328722039775,2.664994550693722,-2.7035530414905495,2.6842737960921355,10.734450333882782,0.32147618086959573,-0.0009212614800000463,0.0018823685225000109,-0.019279245398413858
